(Class Part, Value Part, Line Number)
<**********************************************>
(class,class,1)
(ID,abc,1)
(extends,extends,1)
(ID,DD,1)
({,{,1)
(Access Modifier,public,2)
(ID,b,2)
((,(,2)
(DT,int,2)
(ID,a,2)
(,,,,2)
(ID,a,2)
(ID,A,2)
(,,,,2)
(DT,char,2)
(ID,c,2)
(,,,,2)
(ID,A,2)
(ID,a,2)
(),),2)
({,{,2)
(reference,this,3)
(dot,.,3)
(ID,a,3)
(Assignment Operator,=,3)
(int-const,5,3)
(;,;,3)
(},},5)
(ID,b,6)
((,(,6)
(DT,int,6)
(ID,a,6)
(,,,,6)
(DT,int,6)
([,[,6)
(],],6)
(ID,a,6)
(),),6)
({,{,6)
(reference,this,7)
(dot,.,7)
(ID,a,7)
(Assignment Operator,=,7)
(ID,xx,7)
(MDM,*,7)
(int-const,5,7)
(;,;,7)
(},},8)
(Access Modifier,public,9)
(static,static,9)
(void,void,9)
(main,main,9)
((,(,9)
(),),9)
({,{,9)
(if,if,10)
((,(,10)
(ID,i,10)
(Relational Operator,==,10)
(int-const,8,10)
(),),10)
({,{,10)
(},},10)
(if,if,11)
((,(,11)
(ID,i,11)
(Relational Operator,==,11)
(int-const,4,11)
(),),11)
({,{,11)
(ID,b,11)
(Compound Assignment,+=,11)
(int-const,5,11)
(;,;,11)
(ID,fn,11)
((,(,11)
(),),11)
(;,;,11)
(},},11)
(else,else,12)
({,{,12)
(break,break,13)
(;,;,13)
(},},13)
(},},14)
(},},15)
($,$,16)
